#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:21:34Z,sdgp,bmc,44,41.5,42,41.5,8147,8212,8195,8180,41,35.5,37,5520,30,173,231.75,4528,26,181,231.5
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:22:35Z,sdgp,bmc,43,41,41,40.5,8198,8362,8346,8317,40.5,35,36.5,5544,29,175,231.5,4528,26,183,231.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:22:58Z,sdgp,bmc,42.5,40.5,40.5,40.5,8594,8691,8663,8648,40,35,36,5368,29,176,231.25,4528,26,185,231.25
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:23:21Z,sdgp,bmc,42,40.5,41,40,8614,8687,8663,8647,39.5,35,36,5336,29,178,231.5,4528,26,186,231.5
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:23:45Z,sdgp,bmc,41.5,40,40.5,40,8617,8689,8662,8653,39.5,34.5,35.5,5064,29,178,231.5,4528,26,186,231.5
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:24:08Z,sdgp,bmc,41.5,40,40.5,40,7981,8043,8022,8003,39,35,35.5,5064,29,173,231.25,4560,26,182,231
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:24:30Z,sdgp,bmc,41.5,40,40.5,40.5,7497,7478,7478,7301,39,35,35.5,5064,29,171,231,4528,26,179,230.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:25:22Z,sdgp,bmc,41.5,40,41,40.5,7026,7030,6816,6739,39,35,35,5064,29,169,231,4528,26,177,230.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:25:46Z,sdgp,bmc,42,40.5,41,41,5742,5793,5780,5764,39,35.5,35,5336,29,165,231.5,4528,26,174,231.5
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:26:10Z,sdgp,bmc,42,40.5,41.5,42,5257,5256,5152,5133,39,36,35,5336,29,165,231.5,4560,26,172,231
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:26:33Z,sdgp,bmc,42.5,41,43,42,4808,4859,4825,4816,39,36,35,5336,30,166,231.5,4528,26,174,231.25
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:26:56Z,sdgp,bmc,43,41,43,42.5,4456,4492,4484,4479,39.5,36.5,35,5336,30,164,231,4560,26,172,231.25
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:27:19Z,sdgp,bmc,43.5,41.5,43.5,43,3971,4005,3998,3989,39.5,37,35.5,5520,30,163,231.25,4560,27,171,231
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:27:47Z,sdgp,bmc,44,42,45,44,3823,3723,3684,3673,40,37.5,35.5,5520,30,164,231.25,4616,27,172,231.5
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:28:10Z,sdgp,bmc,45,42.5,45.5,45,3340,3363,3360,3358,40,38,35.5,5544,31,165,231.5,4616,27,173,231.5
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:28:33Z,sdgp,bmc,45.5,43,46,45.5,3224,3200,3191,3185,40.5,38.5,36,5816,31,165,231.5,4648,27,172,231.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:28:56Z,sdgp,bmc,46,43.5,47,46.5,3007,3030,3023,3020,40.5,38.5,36,5816,31,165,231.75,4920,27,174,231.25
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:29:19Z,sdgp,bmc,46,44,47.5,47,2885,2860,2856,2856,41,39,36.5,5816,31,165,231.25,4920,27,173,231.25
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:29:46Z,sdgp,bmc,46.5,45,48.5,48,2839,2813,2794,2699,41.5,39.5,37,6056,32,166,231,4888,27,175,230.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:30:08Z,sdgp,bmc,47.5,46,49.5,48.5,2674,2691,2690,2678,41.5,39.5,37,6088,32,168,230.5,4888,27,175,231.25
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:30:31Z,sdgp,bmc,48,46,50,48.5,2675,2704,2688,2685,42,40,37.5,6264,32,168,231.25,4920,27,176,231.5
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:30:55Z,sdgp,bmc,48.5,46.5,51,49.5,2672,2695,2700,2682,42,40,38,6264,33,168,231,5064,27,176,230.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:31:20Z,sdgp,bmc,49,47.5,51.5,50.5,2673,2693,2698,2682,42.5,40.5,38,6264,33,168,230.75,5064,27,176,230.25
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:31:46Z,sdgp,bmc,49.5,47,52,50.5,2716,2709,2690,2682,42.5,41,38.5,6536,33,169,230.25,5064,27,177,230.25
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:32:13Z,sdgp,bmc,50,48,52.5,51,2674,2695,2688,2696,43,41,39,6536,33,169,230.75,5096,28,177,230.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:32:36Z,sdgp,bmc,50.5,48,53.5,51.5,2675,2692,2688,2693,43.5,41.5,39.5,6536,33,169,231,5064,28,177,230.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:33:37Z,sdgp,bmc,51.5,49,54,52,2883,2859,2884,3011,44,41.5,40,6720,33,171,231.25,5096,28,177,231
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:34:00Z,sdgp,bmc,52,49.5,54.5,52.5,3176,3198,3192,3186,44.5,41.5,40,6688,33,170,230.75,5064,28,178,231.25
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:34:28Z,sdgp,bmc,52.5,50,54.5,52.5,2511,2535,2518,2528,44.5,41.5,40.5,6688,34,169,231.25,5096,28,177,231.25
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:34:56Z,sdgp,bmc,53,50,55,52.5,2207,2187,2173,2156,44.5,42,40.5,6984,34,169,231,5368,28,176,231
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:35:18Z,sdgp,bmc,53,50.5,55.5,53,1699,1689,1691,1697,44.5,43,41,7440,34,170,231,5368,28,178,230.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:35:43Z,sdgp,bmc,53.5,51,56,53.5,1700,1694,1685,1691,45,43.5,41,8128,35,170,230.75,5368,28,178,230.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:36:38Z,sdgp,bmc,54.5,52,57.5,54.5,1701,1694,1689,1688,45.5,44.5,41.5,8784,35,171,230.75,5368,28,179,231
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:37:01Z,sdgp,bmc,55,52.5,58,55,1700,1695,1683,1689,45.5,45.5,42,9504,35,173,230.75,5400,29,181,230.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:37:24Z,sdgp,bmc,55.5,53,59,55.5,1701,1698,1679,1692,46,45.5,42,9984,35,175,230.5,5368,29,182,230.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:37:50Z,sdgp,bmc,56,53.5,59.5,56,1759,1791,1848,1867,46.5,46,42,10368,35,176,230.75,5368,29,182,230.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:38:17Z,sdgp,bmc,56.5,53.5,60,56.5,1877,1859,1855,1858,47,46,42.5,10736,35,176,230.5,5544,29,183,230.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:38:41Z,sdgp,bmc,57,54,60.5,56.5,2041,2025,2024,2028,47,46,42.5,10912,35,177,231.25,5544,29,184,231.25
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:39:08Z,sdgp,bmc,57.5,54,61,57,2175,2191,2200,2191,47.5,46,43,10912,35,177,230.75,5544,29,184,230.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:39:35Z,sdgp,bmc,57.5,54.5,61.5,57,2340,2357,2361,2355,48,45.5,43,10880,35,176,230.75,5520,29,184,230.75
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:40:01Z,sdgp,bmc,58,54.5,61.5,57.5,2377,2360,2350,2354,48,45.5,43,10912,35,177,230.75,5544,29,184,230.5
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:40:24Z,sdgp,bmc,58,54.5,61.5,57.5,2380,2358,2363,2374,48.5,45.5,43.5,11040,35,177,230.5,5544,29,184,230.5
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:40:47Z,sdgp,bmc,58.5,55,62,57.5,2377,2356,2364,2356,48.5,45.5,43.5,11152,35,177,230.75,5544,29,184,231
,,0,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:41:10Z,sdgp,bmc,58.5,55,62,57.5,3476,3503,3517,3501,49,45,43.5,10912,35,177,230.25,5544,29,187,230.75

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:21:19Z,sdgp,host,28669625,48441060,1518551015,100,100,100,100,63.54,100,88.46,78.72,100,100,78.35,80.39,80.2,100,100,100,74.51,69.15,70.21,73,71.88,70.53,100,68.42,100,44.34,100,58.88,48.91,100,51.02,39.22,53.12,100,73.83,100,100,2,100,100,100,100,100,100,100,100,100,100,58.87,100,100,100,100,100,54.44,100,100,100,100,100,100,50,100,28.57,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,66.67,58.76,100,100,0,100,100,100,100,100,100,100,100,68.93,100,100,100,74.47,100,100,75.26,100,79.17,91.92,100,100,100,72,100,100,67.39,64.52,100,62.77,100,70.93,100,100,77,100,100,70.21,100,100,100,57.73,93.94,64.71,22237899782,2470,87.3,24227,22019438270,3574859840,99.72,26.84,61.48,68.18,265
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:21:25Z,sdgp,host,31522074,51476976,1777581064,100,100,100,100,90.72,64.65,79.57,100,85.44,100,90,83.67,82.47,100,100,100,63.92,62.5,63.44,81.63,59.34,58.43,100,65,100,71.43,100,62.5,80.41,100,56.7,55.21,53.33,100,100,58.33,100,100,100,100,45.36,100,100,100,100,100,100,100,100,100,100,100,100,100,1.01,100,100,100,100,100,100,1.98,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,100,60.58,100,100,61.54,100,100,72.34,100,72.82,100,84.85,100,100,100,78.26,100,100,78.79,78.35,100,77.53,100,63.44,100,100,60.23,100,100,63.92,100,100,70,66.35,84.21,100,21499432455,2712,87.1,20273,21440963071,4262050215,101.03,27.32,62.38,68.19,801
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:21:31Z,sdgp,host,31268076,54949010,1826275598,100,100,100,100,100,56.6,100,71.72,74.29,72.73,100,73.64,100,100,100,70.48,67.71,64.29,62.89,58.89,60.87,65.35,100,60,100,61.62,100,46.94,100,100,100,55.45,62.04,100,100,83.84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3.12,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,16.83,100,100,100,100,60.82,73.4,100,100,100,49,100,100,100,100,100,100,100,100,58.95,100,62.63,61.22,100,62.11,100,100,100,100,100,61.7,100,100,61,100,100,52.13,60.44,85,100,100,100,100,83.33,100,100,100,59.62,49.47,100,56.25,21074421335,2646,88.9,20889,21057842731,4086948276,101.98,27.78,63.22,68.19,831
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:21:38Z,sdgp,host,27287443,52719059,1085501708,100,100,100,100,100,70.83,61,100,75.25,100,100,75,100,100,100,76.99,100,67.31,56.84,49.48,53.85,93.94,61.54,56.52,100,67.89,100,79.81,100,100,100,70.1,44.23,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.06,100,100,100,100,100,100,100,100,14.74,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,31.58,43.3,100,100,100,33.68,100,100,100,100,100,100,100,100,76.84,100,65.96,100,69.15,100,94.9,100,100,100,100,59.57,67.01,100,100,91.84,100,100,91.67,72.63,100,100,75.51,100,73,100,69.89,100,69.7,63.74,100,65.17,23402230699,2022,88.8,37241,23045773060,3455521779,103.24,28.67,64.76,68.18,117
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:21:44Z,sdgp,host,19223232,33554217,496848809,100,100,100,100,100,55.43,52.17,100,100,100,100,64.13,60.22,100,100,100,77.89,76.47,76.29,100,75.27,100,72.41,72.63,100,53.61,100,100,61.29,100,100,100,100,12.87,100,100,100,100,100,100,100,100,100,100,100,2.97,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,1.04,100,100,100,100,100,100,100,100,100,100,100,37,100,100,74.23,100,100,100,100,100,100,100,77.88,79.41,100,100,100,98.02,100,78.43,62.37,100,100,100,64.89,100,100,70.41,100,60.61,100,100,53.26,15755762489,1985,91.6,14831,15439168698,1071391020,104.26,29.13,65.61,68.18,76
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:21:50Z,sdgp,host,20039101,35448485,570022576,100,100,100,100,100,60.61,59.34,97.98,91,92.23,100,100,89,100,100,100,62.79,67.37,64.52,100,62.79,100,70,64.21,100,62.5,100,74.74,100,100,100,100,61.96,0,100,100,100,100,100,100,8.42,100,100,100,100,100,100,100,100,100,100,100,100,100,12.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,6.93,100,100,100,1,56.38,56,100,100,100,100,100,100,100,100,100,100,100,100,100,100,82.47,94,100,100,100,100,100,100,100,100,100,84.85,100,100,100,82.29,84.31,100,100,100,100,100,70.1,65.98,100,100,64.65,100,100,62.63,16539209935,2011,91,14444,16305363029,1337471886,104.8,29.57,66.37,68.16,182
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:21:56Z,sdgp,host,16961505,30049525,414186080,0,100,100,100,28.57,100,100,78.57,93,81.82,100,71.76,100,100,100,100,73.2,68.48,100,100,66.29,100,100,73.12,100,72.83,100,67.57,100,100,100,100,70.33,90,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,67.37,100,45.26,100,100,100,100,100,48.94,99,100,100,100,100,100,66.33,100,72.83,100,100,100,100,100,100,74.75,34.65,82.65,94.85,86.14,100,93.88,100,100,95.96,100,100,100,100,100,62.5,64.89,100,100,96,91.35,100,39.56,15494045147,1983,90.5,14387,15350657995,899642647,105.54,30.03,67.16,68.16,8
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:22:03Z,sdgp,host,15411128,27622504,385178847,58.59,100,100,100,56.38,100,100,67.71,100,71.88,100,100,100,100,100,65.59,76.09,73.03,95.92,100,75.26,100,100,77.66,100,74.07,100,100,100,100,100,100,55.79,100,100,100,66,100,100,100,100,100,100,100,100,100,100,100,99.01,34.34,100,100,100,100,45,87,100,100,100,100,100,100,59.79,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,23.47,100,52.17,100,100,100,100,100,100,91.92,100,100,71.58,100,100,100,100,86.6,100,100,100,100,91,100,93.88,100,78.72,100,77.89,100,76.6,100,100,100,68.97,100,100,100,100,68.27,100,100,100,100,100,100,63.04,14555189479,1710,91.3,12285,14429984543,824039805,106.73,30.92,68.68,68.16,8
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:22:09Z,sdgp,host,14816260,27544209,446928285,100,100,100,57.61,61.86,100,100,100,100,100,100,81.91,100,100,87,84.04,60.42,69.15,100,100,66.67,100,100,47.92,100,62.24,100,100,100,100,100,100,68.18,48.48,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,67.68,100,0,100,100,100,100,68.69,100,75.51,100,100,100,100,100,100,100,100,100,50.53,100,100,100,100,0,100,96.04,100,100,100,100,100,95.92,100,100,100,100,100,100,100,63.92,100,100,100,81.25,97.98,100,100,100,100,80.43,100,100,100,92.31,79.17,100,100,81,100,86.14,73.56,100,100,100,100,75.24,100,100,100,100,100,100,100,18356108614,1198,91.5,11639,18037846647,1016409461,107.07,31.35,69.39,68.15,227
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:22:15Z,sdgp,host,13525032,23605347,346120439,16.33,77,100,100,100,100,100,100,100,99.02,92.78,100,100,0.99,96.08,92.63,75,92.16,73.53,100,82.52,100,100,73.53,100,43.3,100,100,100,100,100,100,72.16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,36.36,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,75.86,100,100,100,100,100,83.02,100,100,95.1,100,100,74.11,100,100,100,100,100,100,90.1,100,100,100,100,100,100,100,69.15,77,73.2,100,100,100,100,100,100,100,100,100,100,99.01,100,100,100,70.41,100,100,100,11965548762,767,93.1,9016,11866602001,727571113,107.54,31.79,70.11,68.15,47
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:22:21Z,sdgp,host,12762072,21406034,348621694,63.64,18.37,100,100,100,100,100,99,95.88,98.98,100,99.01,100,100,100,97.98,100,100,81.44,100,81.25,100,100,100,100,100,55.88,100,100,100,100,99,64.95,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,68.69,50,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,80.65,65.98,100,100,100,100,97.03,100,100,100,100,100,100,100,100,100,50,100,100,98,100,100,100,100,100,100,100,100,100,75.51,100,100,100,100,100,94.95,100,100,93.75,100,100,100,100,100,100,100,64.29,100,13760388880,799,93.4,7776,13795984871,711091863,108.54,32.27,70.94,68.16,7
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:22:28Z,sdgp,host,18588098,34957416,723474353,63.27,100,100,100,100,100,100,88.12,93.88,94.85,100,100,100,2.94,100,100,95.79,100,100,100,91.75,100,90.72,99,100,100,65.91,100,100,100,100,100,80.41,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,48.48,100,100,100,100,100,100,0,100,99.01,100,100,100,100,100,100,100,100,100,25.69,100,100,100,100,100,100,100,43.82,100,100,46.23,100,79,100,100,100,19.35,100,100,100,100,100,100,100,100,100,71.57,100,100,100,100,100,100,88.12,100,100,100,100,100,87.5,100,96,100,81,95,100,100,100,100,100,44.33,100,100,100,12434656189,795,94.4,30105,12474583625,1484920064,109.81,33.17,72.46,68.15,33
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:22:34Z,sdgp,host,15001766,25254199,438990907,79.8,12.24,100,100,100,100,100,98.02,97.94,100,100,100,100,0,94.79,100,100,91,100,100,100,100,90.48,91.26,100,65.09,100,57.69,100,100,100,100,100,34.65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,81.82,100,100,100,100,100,17.35,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.88,100,100,91.09,0,100,100,100,100,100,100,1.01,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94.9,100,100,87,89.69,100,100,100,100,100,100,100,100,100,100,58.42,100,100,100,11992307076,695,93.8,9525,12143035928,918693105,110.07,33.6,73.13,68.16,88
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:22:40Z,sdgp,host,16468577,27747731,494449862,89.9,22.45,100,100,100,100,100,100,100,100,100,100,100,0,100,100,71.03,100,69.81,100,100,100,100,100,100,69.15,63.64,71.13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,87,1,100,100,100,100,100,100,100,100,4.08,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.01,100,70.53,44.44,100,91.92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,79.05,100,100,100,100,87.96,100,100,100,100,100,100,100,100,100,100,100,55.21,100,10380406170,472,95.3,8309,10428193525,1055620109,111.26,34.09,73.99,68.15,149
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:22:46Z,sdgp,host,18014675,29993397,563611203,1.02,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,47,93.75,77.89,100,100,100,100,100,100,58.43,100,62,100,100,68.75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.94,100,100,93.55,100,100,100,100,80.39,100,100,100,100,100,100,99,100,100,99.01,100,100,100,100,100,100,100,100,100,100,100,100,47.47,100,10942302707,296,95.2,9063,11007201746,1220513916,112.2,34.57,74.8,68.15,13
,,1,2023-06-18T08:41:30.330706033Z,2023-06-19T08:41:30.330706033Z,2023-06-19T08:22:53Z,sdgp,host,16097100,25870516,467568355,100,100,32.32,51.55,100,100,100,100,100,100,100,100,100,100,100,100,64.84,100,65.96,100,100,100,100,100,29.47,100,100,72.04,100,100,100,78.95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,91.09,100,100,100,67.31,100,100,100,100,100,100,100,100,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,100,100,100,100,100,100,68.32,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10326922283,162,96.2,5402,10102448612,1035297284,113.41,35.49,76.29,68.15,234
